created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-01-08T03:31:03+00:00,1,15,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2024-01-08T03:31:43+00:00,2,15,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2024-01-08T03:33:11+00:00,3,15,0.00,0.00,0.00,0.00,0.00,0.00,,,,
2024-01-08T03:34:53+00:00,4,15,3.87,0.00,0.32,0.00,1.25,0.00,,,,
2024-01-08T03:35:33+00:00,5,15,3.83,0.00,0.32,0.00,1.22,0.00,,,,
2024-01-08T03:36:14+00:00,6,15,5.74,0.00,0.48,0.00,2.74,0.00,,,,
2024-01-08T03:36:54+00:00,7,15,5.78,0.00,0.48,0.00,2.79,0.00,,,,
2024-01-08T03:38:34+00:00,8,5.83,0.49,0.00,2.83,"",,,,,,
2024-01-08T03:39:15+00:00,9,5.87,0.49,0.00,2.87,"",,,,,,
2024-01-08T03:39:55+00:00,10,5.83,0.49,0.00,2.83,"",,,,,,
2024-01-08T03:40:36+00:00,11,6.26,0.52,0.00,3.27,"",,,,,,
2024-01-08T03:42:16+00:00,12,5.91,0.49,2.91,,,,,,,,
2024-01-08T03:42:57+00:00,13,5.74,0.48,2.74,,,,,,,,
2024-01-08T03:43:37+00:00,14,5.87,0.49,2.87,,,,,,,,
2024-01-08T03:44:18+00:00,15,5.91,0.49,2.91,,,,,,,,
2024-01-08T03:45:59+00:00,16,5.30,0.44,2.34,,,,,,,,
2024-01-08T03:46:40+00:00,17,5.35,0.45,2.38,,,,,,,,
2024-01-08T03:47:20+00:00,18,5.09,0.42,2.16,,,,,,,,
2024-01-08T03:48:01+00:00,19,2.39,0.20,0.48,,,,,,,,
2024-01-08T03:48:41+00:00,20,4.43,0.37,1.64,,,,,,,,
2024-01-08T03:49:21+00:00,21,5.39,0.45,2.42,,,,,,,,
2024-01-08T03:50:02+00:00,22,4.83,0.40,1.94,,,,,,,,
2024-01-08T03:50:42+00:00,23,5.35,0.45,2.38,,,,,,,,
2024-01-08T03:51:23+00:00,24,5.35,0.45,2.38,,,,,,,,
2024-01-08T04:09:50+00:00,25,5.87,0.49,2.87,,,,,,,,
2024-01-08T04:10:30+00:00,26,5.65,0.47,2.66,,,,,,,,
2024-01-08T04:11:10+00:00,27,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:11:51+00:00,28,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:12:31+00:00,29,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:13:12+00:00,30,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:13:52+00:00,31,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:14:33+00:00,32,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:15:13+00:00,33,5.65,0.47,2.66,,,,,,,,
2024-01-08T04:15:53+00:00,34,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:16:34+00:00,35,5.74,0.48,2.74,,,,,,,,
2024-01-08T04:17:14+00:00,36,5.65,0.47,2.66,,,,,,,,
2024-01-08T04:17:55+00:00,37,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:18:35+00:00,38,5.70,0.47,2.70,,,,,,,,
2024-01-08T04:22:02+00:00,39,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:23:10+00:00,40,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:24:15+00:00,41,5.61,0.47,2.62,,,,,,,,
2024-01-08T04:24:55+00:00,42,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:25:36+00:00,43,3.13,0.26,0.82,,,,,,,,
2024-01-08T04:26:16+00:00,44,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:26:57+00:00,45,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:27:37+00:00,46,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:28:18+00:00,47,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:28:58+00:00,48,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:29:38+00:00,49,5.48,0.46,2.50,,,,,,,,
2024-01-08T04:30:19+00:00,50,5.48,0.46,2.50,,,,,,,,
2024-01-08T04:30:59+00:00,51,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:31:40+00:00,52,5.52,0.46,2.54,,,,,,,,
2024-01-08T04:32:20+00:00,53,5.43,0.45,2.46,,,,,,,,
2024-01-08T04:33:01+00:00,54,5.52,0.46,2.54,,,,,,,,
